question,option_A,option_B,option_C,option_D,answer,explanation,subjects
Which of the following studies qualifies for expedited IRB review?,A new chemotherapy drug trial.,A survey on dietary habits with minimal risk.,A first-in-human device implant.,A gene therapy protocol.,B,"Studies involving minimal risk and fitting federal expedited categories, such as surveys, qualify for expedited review.",Clinical Research Standards and Guidelines
"Under HIPAA’s Minimum Necessary standard, a CRC should share PHI with the sponsor by:",Sending full medical charts without redaction.,Providing only data elements essential for the research purpose.,Waiting for subject written release each time.,Uploading all source documents to sponsor’s server.,B,HIPAA requires disclosure of only the minimum necessary PHI to accomplish the research purpose.,Clinical Research Standards and Guidelines
"During a monitoring visit, a CRA finds that the AE log does not include a reportable event. What is the CRA’s next step?",Ignore if the AE was mild.,Document the omission and verify with site staff if the AE occurred.,Add the AE themselves without site confirmation.,Notify FDA immediately.,B,The CRA must document the discrepancy and confirm with site staff whether the AE occurred before reporting.,Clinical Trial Operations (GCPs)
"For remote source verification, the CRC should provide the monitor with:",Password sharing for direct database entry.,"Screen-sharing access to secure, redacted source documents.",Physical copies via mail.,Unencrypted PDF attachments by email.,B,"Remote monitoring requires secure, HIPAA-compliant screen-sharing of redacted documents.",Clinical Trial Operations (GCPs)
A new coordinator performed study visits before being added to the delegation log. What action is required?,Retroactively update the log only.,Remove their data from the study.,"Update the log, inform the IRB, and retrain on delegation SOP.",Ignore since visits were completed.,C,"Delegation errors require log correction, IRB notification, and staff retraining to maintain compliance.",Study and Site Management
A subject missed the protocol-defined follow-up window. How should the CRC document this?,Leave the record blank.,Document a protocol deviation and note the reason.,Reschedule without documentation.,Extend all future windows retroactively.,B,Missed windows must be documented as protocol deviations with justification.,Study and Site Management
"When calculating sample size for adequate power, which factor is essential?",Investigator’s experience level.,Expected effect size.,Budget availability.,Number of study sites.,B,Sample size calculations require an estimate of the expected effect size to determine power.,Research Design and Data Management
A data discrepancy is identified between source and eCRF. What is the correct process?,Overwrite source data to match eCRF.,Make an asterisk and proceed.,Issue a data query and correct the eCRF after resolution.,Ignore if minor.,C,Data discrepancies must be resolved via formal queries and corrections documented accordingly.,Research Design and Data Management
"A subject’s LAR declines participation on their behalf, but the subject insists on joining. The CRC should:",Enroll the subject because they want to participate.,Respect the LAR’s decision and not enroll the subject.,Seek a judge’s order.,Proceed until IRB review.,B,"For subjects lacking capacity, LAR decisions override subject assent.",Ethical and Participant Safety Considerations
A participant develops a drug-related adverse event post-study termination. The CRC must:,"Ignore, as study is closed.",Report as a post-study AE per protocol.,Retain data but take no action.,Ask subject to reconsent.,B,Protocols often require reporting AEs occurring after study completion if related to investigational product.,Ethical and Participant Safety Considerations
"When enrolling a non-literate subject, informed consent requires:",Witness signature and thumbprint or mark.,Verbal consent only.,Family member consent only.,Omit consent because illiterate.,A,Non-literate subjects provide consent via mark/thumbprint with independent witness signature.,Ethical and Participant Safety Considerations
A subject asks for compensation information before consenting. The CRC should:,Refer them to the sponsor later.,Provide the IRB-approved compensation details immediately.,Decline until after enrollment.,Alter payment to encourage consent.,B,Transparency in compensation is part of informed consent elements.,Ethical and Participant Safety Considerations
A consent form contains exculpatory language. The CRC must:,Ignore and proceed.,Alert the IRB and remove the exculpatory language before use.,Ask subject to waive rights.,Rewrite without IRB notification.,B,Consent forms must not include language that waives subject rights; IRB must approve removal.,Ethical and Participant Safety Considerations
A shipment of investigational drug arrives damaged. What should the CRC do first?,Store it in quarantine and notify sponsor immediately.,Use it if labels are intact.,Return to sender without documentation.,Dispose of as regular waste.,A,Damaged IP must be quarantined and sponsor notified for disposition instructions.,Investigational Products and Supply Management
Site receives an extra expiry-labelled IP batch. Action?,Dispense with expiry warning to subjects.,Quarantine and inform sponsor to supply replacement labels.,Re-label locally.,Ignore until next visit.,B,Incorrect labels require quarantine and sponsor guidance for correction.,Investigational Products and Supply Management
"During an audit, the site’s CAPA log is missing entries. The auditor should:",Assume no CAPAs were conducted.,Request note-to-file and update CAPA documentation.,Close audit without action.,Issue a warning only.,B,Missing CAPA records require formal documentation via note-to-file and log update.,Quality Management and Audits
A routine internal audit finds unreported protocol deviations. Best response?,Ignore minor deviations.,"Document deviations, report to QA and IRB, and implement CAPA.",Disqualify the site.,Notify subjects only.,B,All deviations must be reported and corrective actions taken to maintain quality.,Quality Management and Audits
A conflict arises between CRC and PI over data queries. CRC should:,Escalate immediately to sponsor.,"Discuss collaboratively, document resolution, and update SOPs if needed.",Ignore queries.,Withdraw from study.,B,"Team conflicts should be resolved through discussion, documented, and SOPs updated.",Communication and Teamwork
"To enhance cross-functional collaboration, a CRC should:",Limit communication to email.,Hold regular team huddles with all study stakeholders.,Communicate through PI only.,Share data informally.,B,Regular interdisciplinary meetings foster collaboration and clarity.,Communication and Teamwork
Which document is required to submit an IND amendment?,Form FDA 1572,"Cover letter, revised protocol, and safety update.",Informed consent form only.,Site delegation log.,B,"IND amendments require cover letter, protocol changes, and safety information.",Regulatory Submissions and Reporting
A serious unanticipated problem occurs. You must report it to the IRB within:,24 hours,5 working days,30 days,At continuing review only,B,Regulations require IRB notification within 5 working days for serious unanticipated problems.,Regulatory Submissions and Reporting
"To maintain certification, a CCRC must earn how many contact hours every 2 years?",10 hours,16 hours,24 hours,32 hours,B,CCRCs require 16 contact hours biennially for certification maintenance.,Leadership and Professional Development
A CRC mentors a new staff member. Which approach is most effective?,Assign tasks without guidance.,"Provide structured feedback, resources, and shadowing opportunities.",Let them learn through mistakes alone.,Rotate roles daily without explanation.,B,"Effective mentoring includes feedback, resources, and hands-on observation.",Leadership and Professional Development
"During site initiation, the CRA notices the monitoring plan is missing. What should they do?",Proceed with visits using a standard template.,Delay initiation and obtain the approved monitoring plan.,Use the previous study’s plan.,Create an informal plan verbally.,B,Monitoring cannot begin until the sponsor-approved plan is in place to ensure compliance with GCP.,Clinical Trial Operations (GCPs)
A scheduled remote monitoring session is missed due to site IT issues. The CRA should:,Ignore and reschedule later.,Document the issue and request an alternative secure method or reschedule.,Cancel further monitoring.,Visit onsite immediately without notice.,B,"All monitoring disruptions must be documented, and alternative secure arrangements made.",Clinical Trial Operations (GCPs)
A subject reports taking non-study medications. How should the CRC record this?,Ignore if unrelated to primary endpoints.,Document concomitant medications and notify the PI for assessment.,Add to protocol as amendment.,Notify sponsor only at study end.,B,All concomitant meds must be recorded and assessed for potential interactions.,Clinical Trial Operations (GCPs)
IP return is scheduled but the shipment is delayed by customs. The site should:,Dispose of IP locally.,Document extended accountability period and notify sponsor.,Use IP despite delay.,Reship new IP without return.,B,Delayed returns must be documented and sponsor informed to maintain accountability.,Clinical Trial Operations (GCPs)
A lab value critical for dosing is delayed. The CRC should:,Administer dose based on previous value.,Hold dosing until updated results are available and document delay.,Estimate using averages.,Skip the visit.,B,Critical safety labs must be current before dosing; any delays documented as deviations.,Clinical Trial Operations (GCPs)
